,price,area,n_bedrooms,n_bathrooms,front_width,front_road_width,legal_docs,facing_direction,balcony_direction,property_type,city_province,district,address,url,title,description,interior
0,2470.0,65.0,2.0,2.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,Bình Dương,Dĩ An,"Dự án The Gió Riverside, Đường Vành Đai 3, Phường Bình Thắng, Dĩ An, Bình Dương",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vanh-dai-3-phuong-binh-thang-prj-the-gio-riverside/-3-mat-view-song-ngay-metro-so-1-ha-tang-vd3-du-kien-chi-1-8-ty-lh-pr42604766,"Vô cùng hối tiếc khi không mua, The Gió Riverside quá đẹp, vị trí cực kỳ đắc địa. CĐT:0902 589 ***","The Gió Riverside của CĐT An Gia, chính thức nhận booking đợt 1 - Tháp Gió Đông - Tháp đẹp nhất DA - 100% view sông, giá cực tốt, đợt 1 chỉ 10%.Gọi ngay hotline PKD:0902 589 ***gặp Ms. Thảo (PKD CĐT) ...",Đầy đủ
1,,65.1,2.0,2.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,Bình Dương,Dĩ An,"Dự án The Gió Riverside, Đường ĐT 16, Phường Bình Thắng, Dĩ An, Bình Dương",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dt-16-phuong-binh-thang-prj-the-gio-riverside/booking-chon-dep-thap-dong-ch-view-song-vinh-vien-truc-dien-ga-metro-s2-1-pr44018842,The Gió - Thanh toán tối đa chỉ 450tr trong 3 năm - Không trả lãi 3 năm + Gốc 5 năm - Góp 1%/tháng,Booking sớm chọn giỏ hàng đẹp căn hộ The Gió Riverside CDT An Gia liên hệ0399 144 ***em Thúy An Gia.1. Booking.Đặt chỗ CK 3%.Quà tặng Gói điện máy cao cấp.---2. Thanh toán may đo (thanh toán vượt).Tha...,Cơ bản
2,4600.0,64.6,2.0,2.0,,,Có sổ,Tây - Bắc,Đông - Nam,Căn hộ chung cư,Hà Nội,Nam Từ Liêm,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/bql-cap-nhat-quy-studio-2ty-1n-2-8-ty-2n-3-2-ty-2n-1-3-9ty-3n-4-5ty-pr43763673,BQL Vinhomes Smart City cập nhật quỹ căn: Studio 2tỷ; 1N+ 2.8 tỷ; 2N 3.2 tỷ; 2N+1 4tỷ; 3N 5tỷ,Em Hoàng Giang  là cư dân sống tại Vinhomes Smart City nên được anh chị chủ nhà tin tưởng gửi bán những căn hộ như sau:Quý khách hàng liên hệ ngay hotline:0964 507 ***để được hỗ trợ và tư vấn.* Quỹ có...,Đầy đủ.
3,1890.0,55.3,1.0,1.0,,,,,Tây - Nam,Căn hộ chung cư,Bình Dương,Dĩ An,"Dự án Phú Đông SkyOne, Đường ĐT 743C, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dt-743c-phuong-tan-dong-hiep-prj-phu-dong-skyone/-gia-tu-1-5-ty-thanh-toan-9tr-thang-cam-ket-thue-lai-8-10tr-thang-o-trung-tam-tp-di-an-pr41005124,"Chỉ cần 200tr, trả góp 4tr5/tháng sở hữu nhà ngay trung tâm Dĩ An, TP. HCM","Em xin gửi đến anh chị thông tin tổng hợp dự án Khu căn hộ Phú Đông Skyone của CĐT Phú Đông Group đang mở bán với.- Mức giá: Từ 1.88 tỷ - 2.8 tỷ (chưa bao gồm VAT, Phí bảo trì & Phí trước bạ). Và còn ...","Cơ bản. Nội thất: NT cơ bản đến từ các thương hiệu nổi tiếng Hafele, ToTo, Kohler."
4,3570.0,52.6,1.0,1.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,TP.HCM,Quận 9,"Dự án Elysian, Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/-thu-duc-gio-hang-noi-bo-cdt-06-2025-cam-ket-ck-cao-nhat-tang-5-nam-pql-bao-thue-phi-so-pr43196674,"Giá thật! CK cao nhất 10/2025, trực tiếp CĐT 1PN 2.36 tỷ - 2PN 4.63 tỷ - 3PN 6.81 tỷ. Bao thuế phí","Chính sách mới của CĐT Gamuda Land 10/2025, mở bán rổ hàng Block cuối cùng của ELysian trong năm nay.Zalo/gọi ngay em Lộc0902 547 ***(12 năm kinh nghiệm, chuyên viên tư vấn chính thức tại Elysian Thủ ...",
5,2380.0,65.0,2.0,2.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,Bình Dương,Dĩ An,"Dự án The Gió Riverside, Đường Vành Đai 3, Phường Bình Thắng, Dĩ An, Bình Dương",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vanh-dai-3-phuong-binh-thang-prj-the-gio-riverside/suat-uu-doc-quyen-thanh-toan-toi-da-600tr-trong-3-nam-chiet-khau-25-5-day-du-noi-that-pr44000887,THE GIÓ - ĐÓNG TỐI ĐA 400-600TR TRONG 3 NĂM - NGƯNG THANH TOÁN 5 NĂM - GÓP 1% THÁNG - CK 25.5%,10 suất nội bộ giá ưu đãi trực tiếp từ Chủ Đầu Tư - Chỉ 600tr trong 3 năm - Sở hữu căn hộ ven sông Đông Sài Gòn - Đầy đủ nội thất.+ Hỗ trợ vay không lãi + gốc 5 năm.+ Trả góp 10%/năm.+ Chiết khấu lên ...,Đầy đủ
6,3350.0,59.0,2.0,1.0,,,Có sổ,,,Căn hộ chung cư,Hà Nội,Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-stu-1-3pn-chinh-chu-view-dep-re-cat-lo-phap-ly-ro-rang-mien-phi-mg-tai-vin-oceanpark-pr42207226,"Cập nhật bảng giá CC tháng 9 tại Vin OCP chính chủ view đẹp, giá rẻ, đầy đủ pháp lý cần bán gấp","Bên em đang có quỹ căn chuyển nhượng giá siêu tốt chủ nhà không có nhu cầu sử dụng nên bán gấp, nhà mới chưa qua sử dụng không có nhu cầu ở nên muốn nhượng lại, ưu tiên cho anh chị khách hàng có nhu c...",
7,1760.0,25.0,,,,,,,,Căn hộ chung cư,Hà Nội,Nam Từ Liêm,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/chinh-chu-ban-t7-studio-1ty755-1pn-2-84-ty-2pn-3-365-ty-2pn-4-18ty-3pn-4ty960-city-pr43910714,Chính chủ cần bán T9: Studio 1tỷ755; 1PN+ 2.84 tỷ; 2PN 3.365 tỷ; 2PN+ 4.3 tỷ; 3PN 4tỷ960 Smart City,"Thùy Miên cần bán 10 căn ngoại giao mua rẻ của CĐT, đã nhận nhà chưa ở, giờ cần chuyển nhượng ở khu cao cấp Vinhomes Smart City cần bán nhanh trong tháng này với giá gốc:- 02 căn 2PN - 54m², nội thất ...",Nội thất cơ bản CĐT.
8,,82.0,3.0,,,,,,,Căn hộ chung cư,TP.HCM,Quận 9,"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-solari-vinhomes-grand-park/ban-gap-3pn-vinmes-q9-view-song-tang-mat-gia-2-7-ty-pr42818062,"Bán gấp căn hộ 3PN, Vinhomes Grand Park Q9 view sông thoáng mát, giá chỉ 3,1 Tỷ",Chính chủ kẹt tiền gửi bán gấp căn hộ 3PN khu Vinhomes Grand Park.- Căn góc 3PN view sông thoáng mát.- Diện tích 82m².LH:0963 389 ***....,
9,2400.0,65.0,2.0,2.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,Bình Dương,Dĩ An,"Dự án The Gió Riverside, Đường Vành Đai 3, Phường Bình Thắng, Dĩ An, Bình Dương",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vanh-dai-3-phuong-binh-thang-prj-the-gio-riverside/booking-ngay-hang-doc-quyen-view-song-ngay-metro-s2-1-tang-gia-o-ha-tang-pr43961070,"5 SUẤT ĐỘC QUYỀN- GIÁ SIÊU TỐT tại THE GIÓ RIVERSIDE trực diện sông, đối diện ga Metro S2.1","Booking chỉ 50 triệu có hoàn lại với vô vàng ưu đãi. Chiết khấu cao nhất lên đến 25.5%. Với đa dạng phương thức thanh toán, phù hợp cho từng tệp khách hàng khác nhau. Liên hệ0902 546 ***Sở hữu căn hộ ...",Đầy đủ.
10,2280.0,48.0,1.0,1.0,,,Hợp đồng mua bán,Đông - Nam,Tây - Bắc,Căn hộ chung cư,TP.HCM,Quận 9,"Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/gio-hang-chiet-khau-khung-28-1pn-2-3-ty-2pn-2-9-ty-2pn-70m2-3-4-ty-vuon-nhat-pr44128313,"QUÁ SỐC! Vinhomes Q9 khu Origami giảm sốc 28% 1PN + 2,28 tỷ 2pn 2.9 tỷ 2pn + 70m2 3,4 tỷ vườn Nhật","LẦN ĐẦU TIÊN CDT Vinhomes giỏ hàng căn hộ Origami chiết khấu 28%, thanh toán giãn 180 ngày - 480 ngày, bàn giao full nội thất (tùy căn).Giá cực hời, cực shock, đón đầu hạ tầng Vành Đai 3 hình thành 20...",Cơ bản
11,3900.0,74.0,2.0,2.0,,,Hợp đồng mua bán,,,Căn hộ chung cư,TP.HCM,Quận 9,"Dự án Masteri Centre Point, Phường Long Bình, Quận 9, Hồ Chí Minh",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-masteri-centre-point/gio-hang-vip-mua-cdt-gia-1pn-3-2-ty-2pn-3-8-ty-view-noi-khu-toa-b-ngay-vincom-vinschool-pr43538652,"Giỏ hàng suất nội bộ trực tiếp CĐT Masterise Home: 1PN+ 3,2 tỷ| 2PN 3,9 tỷ rẻ hơn căn chuyển nhượng","Giỏ hàng mua trực tiếp Chủ Đầu Tư Masterise Homes giá rẻ hơn hàng chuyển nhượng: 1PN + chỉ 3,2 tỷ, 2PN 3,9 tỷ, view nội khu mát mẽ, toà B ngay trục đường chính gần Vincom, kề trường học Vinschool, vị ...",Cơ bản
12,2600.0,65.0,2.0,2.0,,,Khác,Tây - Bắc,Đông - Nam,Căn hộ chung cư,Bình Dương,Dĩ An,"Dự án The Gió Riverside, Đường 743A, Phường Bình Thắng, Dĩ An, Bình Dương",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-743a-phuong-binh-thang-prj-the-gio-riverside/nhan-booking-suat-noi-bo-dong-2-ck-25-5-chi-2ty470-2pn2wc-65m2-pr44009931,"Nhận booking suất nội bộ gió đông 2 - CK 25.5%, chỉ 2,47 tỷ/căn 2PN 2WC - 65.1m2",The Gió Riverside dự án cao cấp từ An Gia Group.Dự án The Gió Riverside An Gia.Pháp lý minh bạch.View sông view TP view nút giao.Tăng giá theo hạ tầng.Tên dự án: The Gió Riverside.Chủ đầu tư: Tập đoàn...,Cơ bản
