,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width
0,Nhà mặt tiền,48.0,65.0,m²,,,4.0,16.0,"Đường Nguyễn Trãi, Phường 7, Quận 5, TP.HCM",TP.HCM,Quận 5,Sổ hồng,,4.0
1,Nhà hẻm ngõ,8.2,105.0,m²,6.0,6.0,2.0,23.0,"1234, Đường Huỳnh Tấn phát, Phường Tân Phú, Quận 7, TP.HCM",TP.HCM,Quận 7,Sổ hồng,,4.6
2,Biệt thự,300.0,1100.0,m²,8.0,10.0,3.0,50.0,"105, Đường Trần Văn Kiểu, Phường 10, Quận 6, TP.HCM",TP.HCM,Quận 6,Sổ hồng,,20.0
3,Nhà mặt tiền,0.89,60.0,m²,3.0,3.0,,15.0,"Đường Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,,4.0
4,Nhà mặt tiền,40.0,140.0,m²,8.0,8.0,3.0,22.0,"Đường 3 Tháng 2, Phường 14, Quận 10, TP.HCM",TP.HCM,Quận 10,Sổ hồng,,7.5
5,Nhà hẻm ngõ,3.8,29.0,m²,2.0,,,,"Hẻm 11/9, Đường Trần Văn Đang, Phường 9, Quận 3, TP.HCM",TP.HCM,Quận 3,Sổ hồng,Đông Nam,
6,Nhà hẻm ngõ,2.98,24.0,m²,2.0,2.0,,,"87/12/4, Đường 27, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,,
7,Nhà mặt tiền,42.0,64.0,m²,4.0,3.0,3.0,16.3,"Đường Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, TP.HCM",TP.HCM,Quận 1,Sổ hồng,,4.0
8,Nhà mặt tiền,9.2,100.0,m²,,,5.0,,"440A, Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, TP.HCM",TP.HCM,Quận 12,Sổ hồng,,
9,Nhà mặt tiền,8.6,48.0,m²,4.0,5.0,3.0,12.0,"69, Đường số 4, Phường 16, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,,4.0
10,Nhà hẻm ngõ,11.8,79.0,m²,,,,19.8,"513/60, Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,Tây Nam,4.0
11,Nhà mặt tiền,12.8,47.0,m²,,,5.0,12.0,"16, Đường Nguyễn Bá Tòng, Phường Tân Thành, Quận Tân Phú, TP.HCM",TP.HCM,Quận Tân Phú,Sổ hồng,,4.1
12,Nhà hẻm ngõ,8.69,42.0,m²,4.0,4.0,3.0,,"432/3, Đường Lê Văn Sỹ, Phường 2, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,,
13,Nhà mặt tiền,,40.0,m²,,,2.0,,"Đường Nguyễn Công Trứ, Phường 19, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ đỏ,,
14,Nhà hẻm ngõ,2.2,85.0,m²,3.0,3.0,,17.0,"Đường Cây Cám, Phường Bình Hưng Hòa B, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Giấy tờ hợp lệ,,5.0
15,Nhà mặt tiền,0.68,120.0,m²,3.0,2.0,1.0,20.0,"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,,6.0
16,Nhà mặt tiền,0.7,98.0,m²,3.0,2.0,,19.0,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,,5.1
17,Nhà mặt tiền,1.25,100.0,m²,3.0,3.0,,20.0,"Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, TP.HCM",TP.HCM,Huyện Bình Chánh,Sổ hồng,,5.0
18,Nhà mặt tiền,2.111,500.0,m²,,,,20.0,"Đường Thi Sách, Phường Bến Nghé, Quận 1, TP.HCM",TP.HCM,Quận 1,Sổ hồng,,25.0
19,Nhà hẻm ngõ,8.1,68.0,m²,3.0,3.0,3.0,17.0,"Đường Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,,4.0
20,Nhà mặt tiền,5.5,46.0,m²,3.0,3.0,2.0,,"228, Đường Bình Quới, Phường 28, Quận Bình Thạnh, TP.HCM",TP.HCM,Quận Bình Thạnh,Sổ hồng,Tây Nam,
21,Nhà hẻm ngõ,7.8,56.0,m²,5.0,6.0,,,"Phường Bình Trị Đông, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,,
22,Nhà hẻm ngõ,10.5,73.0,m²,5.0,4.0,4.0,,"Đường Tân Trụ, Phường 15, Quận Tân Bình, TP.HCM",TP.HCM,Quận Tân Bình,Sổ hồng,Tây,
23,Nhà mặt tiền,1.29,72.0,m²,5.0,6.0,,,"Phường Bình Trị Đông, Quận Bình Tân, TP.HCM",TP.HCM,Quận Bình Tân,Sổ hồng,,
24,Nhà hẻm ngõ,30.0,67.5,m²,20.0,21.0,7.0,17.0,"67/1, Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,Bắc,4.5
25,Nhà mặt tiền,22.9,69.0,m²,6.0,6.0,7.0,21.0,"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM",TP.HCM,Quận Gò Vấp,Sổ hồng,Tây Nam,4.0
