property_type,price,area,n_bedrooms,n_bathrooms,n_floors,city_province,district,legal_docs,facing_direction,front_width,front_road_width,balcony_direction,interior
Nhà mặt tiền,48.0,65.0,,,4.0,TP.HCM,Quận 5,Sổ đỏ/hồng riêng,,4.0,,,
Nhà hẻm ngõ,8.2,105.0,6.0,6.0,2.0,TP.HCM,Quận 7,Sổ đỏ/hồng riêng,,4.6,,đông,
Biệt thự,300.0,1100.0,8.0,10.0,3.0,TP.HCM,Quận 6,Sổ đỏ/hồng riêng,,20.0,,,
Nhà mặt tiền,0.89,60.0,3.0,3.0,,TP.HCM,Bình Chánh,Sổ đỏ/hồng riêng,,4.0,,,
Nhà mặt tiền,40.0,140.0,8.0,8.0,3.0,TP.HCM,Quận 10,Sổ đỏ/hồng riêng,,7.5,,,
Nhà hẻm ngõ,3.8,29.0,2.0,,,TP.HCM,Quận 3,Sổ đỏ/hồng riêng,đông nam,,,,
Nhà hẻm ngõ,2.98,24.0,2.0,2.0,,TP.HCM,Gò Vấp,Sổ đỏ/hồng riêng,,,,,
Nhà mặt tiền,42.0,64.0,4.0,3.0,3.0,TP.HCM,Quận 1,Sổ đỏ/hồng riêng,,4.0,,,
Nhà mặt tiền,9.2,100.0,,,5.0,TP.HCM,Quận 12,Sổ đỏ/hồng riêng,,,,,
Nhà mặt tiền,8.6,48.0,4.0,5.0,3.0,TP.HCM,Gò Vấp,Sổ đỏ/hồng riêng,,4.0,,,
Nhà hẻm ngõ,11.8,79.0,,,,TP.HCM,Tân Bình,Sổ đỏ/hồng riêng,tây nam,4.0,,tây nam,
Nhà mặt tiền,12.8,47.0,,,5.0,TP.HCM,Tân Phú,Sổ đỏ/hồng riêng,,4.1,,,
Nhà hẻm ngõ,8.69,42.0,4.0,4.0,3.0,TP.HCM,Tân Bình,Sổ đỏ/hồng riêng,,,,,
Nhà mặt tiền,,40.0,,,2.0,TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,,,,,
Nhà hẻm ngõ,2.2,85.0,3.0,3.0,,TP.HCM,Bình Tân,Sổ đỏ/hồng riêng,,5.0,,,
Nhà mặt tiền,0.68,120.0,3.0,2.0,1.0,TP.HCM,Bình Chánh,Sổ đỏ/hồng riêng,,6.0,,,
Nhà mặt tiền,0.7,98.0,3.0,2.0,,TP.HCM,Bình Chánh,Sổ đỏ/hồng riêng,,5.1,,,
Nhà mặt tiền,1.25,100.0,3.0,3.0,,TP.HCM,Bình Chánh,Sổ đỏ/hồng riêng,,5.0,,,
Nhà mặt tiền,2.111,500.0,,,,TP.HCM,Quận 1,Sổ đỏ/hồng riêng,,25.0,,,
Nhà hẻm ngõ,8.1,68.0,3.0,3.0,3.0,TP.HCM,Tân Bình,Sổ đỏ/hồng riêng,,4.0,,,
Nhà mặt tiền,5.5,46.0,3.0,3.0,2.0,TP.HCM,Bình Thạnh,Sổ đỏ/hồng riêng,tây nam,,,tây nam,
Nhà hẻm ngõ,7.8,56.0,5.0,6.0,,TP.HCM,Bình Tân,Sổ đỏ/hồng riêng,,,,,
